City|State short|State full|County|City alias
Holtsville|NY|New York|SUFFOLK|Internal Revenue Service
Holtsville|NY|New York|SUFFOLK|Holtsville
Adjuntas|PR|Puerto Rico|ADJUNTAS|URB San Joaquin
Adjuntas|PR|Puerto Rico|ADJUNTAS|Jard De Adjuntas
Adjuntas|PR|Puerto Rico|ADJUNTAS|Colinas Del Gigante
Adjuntas|PR|Puerto Rico|ADJUNTAS|Adjuntas
Aguada|PR|Puerto Rico|AGUADA|Comunidad Las Flores
Aguada|PR|Puerto Rico|AGUADA|URB Isabel La Catolica
Aguada|PR|Puerto Rico|AGUADA|Alts De Aguada
Aguada|PR|Puerto Rico|AGUADA|Bo Guaniquilla
Aguada|PR|Puerto Rico|AGUADA|Aguada
Aguada|PR|Puerto Rico|AGUADA|Ext Los Robles
Aguadilla|PR|Puerto Rico|AGUADILLA|Ramey
Aguadilla|PR|Puerto Rico|AGUADILLA|Aguadilla
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Lopez
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Maleza Gdns
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Victoria
Aguadilla|PR|Puerto Rico|AGUADILLA|Repto Tres Palmas
Aguadilla|PR|Puerto Rico|AGUADILLA|Sect Las Villas
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Garcia
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Linda
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Universitaria
Aguadilla|PR|Puerto Rico|AGUADILLA|Bo Ceiba Baja
Aguadilla|PR|Puerto Rico|AGUADILLA|URB Borinquen
Aguadilla|PR|Puerto Rico|AGUADILLA|Villa Alegria
Aguadilla|PR|Puerto Rico|AGUADILLA|Vista Alegre
Aguadilla|PR|Puerto Rico|AGUADILLA|URB San Carlos
Aguadilla|PR|Puerto Rico|AGUADILLA|Bda Caban
Aguadilla|PR|Puerto Rico|AGUADILLA|Ext El Prado

// what I want to do
// isolate each 'word' from search input
for each word:
    search each row of the csv for a match
    if match is found:
        if match is city or city alias, set matchedLocString to "city=New York" (for example)
        if match is state, set matchedLocString to "state=NY"
    if no match found:
        present 'sorry, no matching locations found.'
            show option 'search in New York, NY'

This version of search makes no material contribution to Yup. It serves as an implementation of
basic city/state searching, for the purpose of personal practice and demonstration.
In the future, I will focus strictly on features that contribute to the project.

future version of search:
    connect to google API
